出	229		chū	exit	go out, send out; stand; produce	でる だす	シュツ スイ	[sound:agj-pinyin-chu1.mp3]	55
衣	230		yī	clothing	clothes, clothing; cover, skin	ころも きる	イ エ	[sound:agj-pinyin-yi1.mp3]	1036
袁	233		yuán	Yuan	robe; surname		エン オン	[sound:agj-pinyin-yuan2.mp3]	2349
還	236	还	hái	give back	still, yet, also, besides	かえる また めぐる	カン セン ゲン	[sound:agj-pinyin-hai2.mp3]	56
雨	237		yǔ	rain	rain; rainy; KangXi radical 173	あめ あま	ウ	[sound:agj-pinyin-yu3.mp3]	770
電	238	电	diàn	electricity	electricity, electric; lightning	いなずま	デン テン	[sound:agj-pinyin-dian4.mp3]	57
業	240	业	yè	profession	profession, business, trade	わざ すでに	ギョウ ゴウ	[sound:agj-pinyin-ye4.mp3]	338
對	241	对	duì	that's right	correct, right; facing, opposed	むかう ならぶ あいて	タイ ツイ	[sound:agj-pinyin-dui4.mp3]	58
毛	242		máo	fur	hair, fur, feathers; coarse	け	モウ ボウ	[sound:agj-pinyin-mao2.mp3]	928
者	244		zhě	someone	that which; he who; those who	もの	シャ	[sound:agj-pinyin-zhe3.mp3]	119
都	245		dōu dū	metropolis	metropolis, capital; all, the whole; elegant, refined	みやこ すべて	ト ツ チョ	[sound:agj-pinyin-dou1.mp3]	59
幾	248	几	jǐ	how many?	how many? how much?; a few, some	いく きざし ちかい	キ	[sound:agj-pinyin-ji3.mp3]	257
機	249	机	jī	machine	machine; moment, chance	はた からくり おり	キ	[sound:agj-pinyin-ji1.mp3]	60
自	250		zì	oneself	self, private, personal; from	みずから おのずから より	シ ジ	[sound:agj-pinyin-zi4.mp3]	61
而	251		ér	and	and; and then; and yet; but	しこうして しかして しかれども	ジ ニ	[sound:agj-pinyin-er2.mp3]	62
後	254	后	hòu	behind	behind, rear, after; descendents	おくれる のち あと	ゴ コウ	[sound:agj-pinyin-hou4.mp3]	64
訊	257	讯	xùn	interrogate	inquire; ask; examine; reproach	とう	ジン シン シュン	[sound:agj-pinyin-xun4.mp3]	65
家	259		jiā	house	house, home, residence; family	いえ や うち	カ ケ コ	[sound:agj-pinyin-jia1.mp3]	66
占	260		zhàn	tell fortunes	divine; observe; versify	しめる うらなう うらない	セン	[sound:agj-pinyin-zhan4.mp3]	2154
站	261		zhàn	station	stand up; a stand, station	たつ たたずむ うまつぎ	タン	[sound:agj-pinyin-zhan4.mp3]	67
隻	263	只	zhī	one of a pair	single, one of pair, lone	ひとつ	セキ	[sound:agj-pinyin-zhi1.mp3]	760
只	264		zhǐ	only	only, just, simply	ただ	シ	[sound:agj-pinyin-zhi3.mp3]	69
去	265		qù	go	go away, leave, depart	さる	キョ コ	[sound:agj-pinyin-qu4.mp3]	70
知	266		zhī	know	know, perceive, comprehend	しる しらせる	チ	[sound:agj-pinyin-zhi1.mp3]	71
或	267		huò	or	or, either, else; perhaps, maybe	ある あるいは	ワク イキ	[sound:agj-pinyin-huo4.mp3]	140
國	268	国	guó	country	nation, country, nation-state	くに	コク	[sound:agj-pinyin-guo2.mp3]	72
很	269		hěn	very	very, quite, much	もとる	コン	[sound:agj-pinyin-hen3.mp3]	73
